PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-18,14:07:37.43,1,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.75012,-2.410911,-1.570119,2126.617812,213.888649,1:15,5.27778,2.61038,5.93156,-16.9182,19.67958,12.35701,1.62881,2.18295,79.55298,-5.650901,0.649063,0.43541,,,,,,,,,,,,-6.77536,11.17855,-2.4917,50,5.07539,2.96476,-127.22216,-5.8183,-11.00123,28.36594,-14.02334,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,05951d60-043d-11f0-b52d-21b46c747fc8,86.5676,,,8.19714,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:07:37.43,2025-03-18T14:07:37.4369280-07:00,2025-03-18T21:07:37.4369280Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,0ab41025-8878-44e0-b997-8640fcd23edf,54.5679,-128.23659,14.18297,5.27449,-5.3168,-7.01167,-2.60476,3.35819,-5.50061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-18,14:07:48.71,1,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,1,0,,87.09391,-1.772206,-3.243159,2151.908855,214.482356,1:15,5.33652,2.31084,5.84251,-18.51698,18.87891,12.05079,2.14318,0.29766,78.73931,-5.306353,-1.086745,0.440132,88.682,22.809713,4.709528,2923.529927,109.90206,40.95717,4.63495,310.23249,305.8922,-1.201413,4.106583,-7.20087,10.59867,-2.05369,50,5.18127,6.65115,-126.1559,-4.44077,-11.47007,28.44741,-15.29174,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,0c48d020-043d-11f0-b52d-21b46c747fc8,85.63885,51.32958,,8.3546,,,,2.36954,2.0582,-0.30422,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:07:48.71,2025-03-18T14:07:48.7113728-07:00,2025-03-18T21:07:48.7113728Z,LineDrive,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,09635907-b6ff-492b-9d76-fa3f051c5860,54.6586,-127.20205,14.22371,5.33424,-3.87842,-7.64587,-2.30605,7.07296,-5.73504,159.024011,2.36911,119.50134,-21.61169,4.95926,-1.12042,0.27037,-0.05752,0.00777,-0.00045,2.05852,50.41541,-13.00975,-0.23498,0.33318,-0.16207,0.04636,-0.00663,0.00036,-0.30395,9.83643,-6.39001,1.77318,-0.41199,0.08758,-0.01624,0.00208,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-03-18,14:08:17.02,1,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.57699,-2.10021,-3.843385,2205.931242,212.631971,1:00,5.41416,2.18941,6.09195,-16.50682,19.56493,11.66052,2.09055,-0.39953,79.60733,-5.293535,-1.749478,0.43227,71.38785,52.67842,41.407713,5549.581322,67.68331,89.94107,86.71193,198.35426,84.43879,56.084933,4.798615,-7.2654,11.15654,-1.89865,50,5.24314,8.12497,-128.16094,-5.13969,-11.87493,30.76295,-13.93929,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,1d29f310-043d-11f0-b52d-21b46c747fc8,87.19655,89.95838,,8.96966,,,,1.09166,2.15025,0.31122,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:08:17.02,2025-03-18T14:08:17.0232832-07:00,2025-03-18T21:08:17.0232832Z,Popup,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,52b6dc0d-adf8-4b38-b418-e8eb9a16e2d9,54.40745,-129.21454,15.38147,5.41099,-4.66228,-6.96964,-2.18389,8.53168,-5.93747,210.710019,1.11016,47.18102,-12.25733,0.57107,2.31049,-1.39617,0.37951,-0.05,0.00258,2.14341,83.38339,-23.48716,2.49313,-0.41468,-0.04953,0.0542,-0.01156,0.0008,0.3067,42.07474,-2.27124,0.31555,-0.21636,0.09688,-0.01902,0.00144,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2025-03-18,14:08:34.98,1,4,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39023,-2.142944,-2.583209,2206.633728,203.749583,12:45,5.48771,2.03847,5.94845,-16.06635,20.5321,8.39804,2.15821,0.34063,78.95007,-5.265692,-1.076451,0.435414,,,,,,,,,,,,-5.19453,11.66764,-1.83735,50,5.30806,5.41186,-127.90284,-5.20341,-8.39566,32.36203,-13.31626,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,27cae590-043d-11f0-b52d-21b46c747fc8,86.5668,,,9.44015,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:08:34.98,2025-03-18T14:08:34.9805056-07:00,2025-03-18T21:08:34.9805056Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,cf09fa2f-1824-49b7-86b2-3ef612594a11,54.54925,-129.04875,16.18101,5.48396,-4.73189,-6.65813,-2.03424,5.70915,-4.19783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-18,14:08:48.46,1,5,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.47279,2.991354,-1.446569,2428.628539,50.292504,7:45,5.22485,2.47333,5.44351,-53.4905,-5.18807,-8.36256,3.57174,0.42165,69.73825,-6.81122,-2.933293,0.500214,,,,,,,,,,,,3.69717,-3.0491,-2.33949,50,5.4531,3.1654,-112.12783,4.04683,4.61685,23.89119,-35.98166,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,2fd834e0-043d-11f0-b52d-21b46c747fc8,75.35262,,,7.73454,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:08:48.46,2025-03-18T14:08:48.4622336-07:00,2025-03-18T21:08:48.4622336Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,1bf9e51c-3145-4640-bea6-c828c6656081,55.0572,-113.20024,11.94559,5.2352,5.66196,-17.99083,-2.47693,2.95816,2.30843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-18,14:09:02.87,1,6,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Munoz, Ethan",823946,Right,GLE_COM1,Undefined,1,Top,1,3,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.9618,1.397761,-1.424279,2473.803706,73.337296,8:30,5.24845,2.54019,5.51236,-48.98455,-2.67579,-14.54568,2.4742,-0.00415,71.31045,-7.586284,-4.016012,0.489782,,,,,,,,,,,,6.84485,-1.32134,-2.40593,50,5.33779,3.42449,-114.4195,1.13537,8.89129,25.07828,-33.89042,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,388a76c0-043d-11f0-b52d-21b46c747fc8,76.95754,,,7.65134,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:09:02.87,2025-03-18T14:09:02.8792832-07:00,2025-03-18T21:09:02.8792832Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,91e0bc24-cfc2-4f70-86cd-7fc130e8dda8,54.98878,-115.50775,12.53914,5.25661,2.60603,-16.94521,-2.54616,3.03865,4.44564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-18,14:09:30.12,2,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Viramontes, Jordan",1000401529,Right,GLE_COM1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.9522,-1.009857,-2.233086,2172.398764,216.568086,1:15,5.32312,2.37943,6.0576,-19.66005,15.53887,10.67449,2.74921,1.20088,81.05491,-4.738035,-0.312655,0.427008,,,,,,,,,,,,-6.218,8.66473,-2.2118,50,5.2341,4.61098,-129.16556,-2.86701,-10.46082,27.9536,-17.59702,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,48b65370-043d-11f0-b52d-21b46c747fc8,88.27103,,,7.89729,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:09:30.12,2025-03-18T14:09:30.1270528-07:00,2025-03-18T21:09:30.1270528Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,22e51174-6750-495d-9ef8-9d23e586382a,54.44562,-130.12411,13.9768,5.32207,-2.2636,-8.79851,-2.37607,4.96969,-5.23041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-18,14:09:41.46,2,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Viramontes, Jordan",1000401529,Right,GLE_COM1,Undefined,1,Top,2,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.35529,1.126066,-1.651871,2318.079443,59.893438,8:00,5.19925,2.59541,5.50559,-51.51408,-2.77622,-7.4304,1.96017,0.43082,70.1241,-8.268763,-2.976358,0.502464,,,,,,,,,,,,3.29788,-1.32154,-2.44585,50,5.26262,3.47394,-110.8425,0.50181,4.0889,20.4406,-33.8126,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,4f829740-043d-11f0-b52d-21b46c747fc8,75.01525,,,6.23119,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:09:41.46,2025-03-18T14:09:41.4638592-07:00,2025-03-18T21:09:41.4638592Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,03159f6d-2554-44ef-9aa7-36c9920d076f,54.99829,-111.76044,10.2203,5.20599,2.02026,-16.9063,-2.59773,3.29032,2.04445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-18,14:09:52.22,2,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Viramontes, Jordan",1000401529,Right,GLE_COM1,Undefined,1,Top,2,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.63535,1.104786,-3.711963,2504.938367,68.667605,8:15,5.17053,2.4763,5.51762,-46.54176,-0.83272,-5.50555,2.32741,-1.4583,72.6916,-7.365096,-4.689641,0.486601,,,,,,,,,,,,1.81839,-0.32587,-2.1486,50,5.23552,7.60991,-114.04597,0.64986,2.40863,19.84921,-32.60569,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,55f12ab0-043d-11f0-b52d-21b46c747fc8,77.46075,,,5.94375,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:09:52.22,2025-03-18T14:09:52.2202112-07:00,2025-03-18T21:09:52.2202112Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,9b37f3d2-d970-4d10-9f6a-7f7c70ae5303,54.98629,-114.91054,9.9246,5.17628,2.07005,-16.30284,-2.47777,7.505,1.20431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-18,14:10:03.00,2,4,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Viramontes, Jordan",1000401529,Right,GLE_COM1,Undefined,1,Top,2,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.67803,-1.626604,-3.269035,2242.274552,201.593944,12:45,5.29018,1.94961,6.27046,-18.03777,17.30721,6.37378,2.28458,-0.53634,80.52151,-5.080273,-2.119753,0.427893,,,,,,,,,,,,-4.30323,9.84083,-1.71052,50,5.16075,7.0914,-128.58696,-4.1478,-7.14895,28.59719,-15.82552,SAN_BAR1,GLE_COM1,PershingPark,JUCO,NJCAA,20250318-PershingPark-2,5c549a90-043d-11f0-b52d-21b46c747fc8,88.08848,,,8.15653,,,,,,,79034797-58d0-45c2-b713-163a68bd11da,2025-03-18,21:10:03.00,2025-03-18T14:10:03.0054912-07:00,2025-03-18T21:10:03.0054912Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,343ef9ce-e8e7-4fc1-86d9-f45281d3c398,54.23066,-129.52442,14.2986,5.28822,-3.62901,-7.91276,-1.94683,7.32575,-3.57448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
