PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,11:42:08.58,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,45.70677,-0.98406,-0.276913,1039.824248,190.574271,12:15,6.71071,1.87338,26.33786,-42.07892,6.33953,1.02437,2.64149,1.80043,44.74312,-13.215789,0.022944,0.500815,14.19802,-32.724511,26.093767,,,,,8.21243,8.21243,2.602206,0.255071,-1.44831,9.27595,-1.96715,50,6.23617,0.48342,-68.44121,5.275,-0.69916,6.29599,-27.69609,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,276d6620-2785-11f0-bbec-f5883ecb6882,75.26227,3.17437,,0.96365,,,,3.76752,3.17437,-1.79994,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:08.58,2025-05-02T11:42:08.5835264-07:00,2025-05-02T18:42:08.5835264Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,ae831cf6-441c-409e-9aa8-1065ac4a1058,34.16993,-66.96915,3.148,6.71248,-1.20059,-13.84804,-1.87323,0.31995,-0.34958,,3.69938,17.393,,,,,,,,3.22313,-12.44508,,,,,,,,-1.83331,8.5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2025-05-02,11:42:16.65,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,47.11869,-2.577282,-4.452825,2371.552274,209.299221,1:00,6.74575,1.83176,26.04762,-38.64664,8.00847,4.02201,2.03324,-0.40643,46.18596,-13.644793,-3.291298,0.49161,72.71391,-9.725953,34.475831,,,,,13.42251,13.42251,30.99546,0.110294,-6.30516,11.73394,-3.10578,50,6.79784,6.05799,-70.17774,2.70491,-3.21267,6.32405,-26.19524,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,2c3b1ad0-2785-11f0-bbec-f5883ecb6882,76.67139,2.23034,,0.93274,,,,2.14178,2.23034,0.32477,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:16.65,2025-05-02T11:42:16.6506496-07:00,2025-05-02T18:42:16.6506496Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,f5a06bd6-843a-4270-a3cb-5eed32aaa706,34.45976,-68.76308,3.16202,6.74752,-3.15486,-13.09762,-1.83101,5.33932,-1.60634,299.563677,2.14184,86.64529,-15.81993,,,,,,,2.23047,-18.03185,-19.87736,,,,,,,0.32468,59.51166,1.95999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-02,11:42:20.80,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,46.12089,-3.497195,-5.587722,2490.5047,191.178264,12:15,6.62839,1.83032,26.454,-41.14077,6.52678,1.12831,1.19578,-1.26888,45.61697,-15.291792,-5.2585,0.496916,44.90186,-14.542638,177.126911,,,,,3.69925,3.26706,154.110157,0.102094,-2.73996,10.08906,-3.41015,50,6.85713,6.87976,-68.546,2.23711,-1.33355,5.94517,-27.26369,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,2eaf0100-2785-11f0-bbec-f5883ecb6882,75.85278,1.76633,,0.50392,,,,3.10809,1.76633,1.31699,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:20.80,2025-05-02T11:42:20.8006656-07:00,2025-05-02T18:42:20.8006656Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,ef9e6ff0-9818-4fd6-b3e6-6cc9956c1c12,34.05415,-67.14874,2.97259,6.62992,-4.17055,-13.63184,-1.83006,6.56634,-0.66677,,3.10803,-63.65843,6.05996,,,,,,,1.76632,-16.53566,-7.5119,,,,,,,1.31701,3.19238,-2.65815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,Medium,Medium,,,
4,2025-05-02,11:42:25.85,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,48.5338,-6.994664,-3.761133,1107.399495,,,7.55971,2.36167,26.03639,,,,1.55803,0.19476,44.48439,-13.878963,-3.739739,0.495929,92.32199,6.984746,-28.629344,1112.725412,,,,90.8882,85.50756,-28.454431,0.711527,-2.02764,35.83573,-3.38332,50,9.08762,4.84171,-73.50292,-5.5631,-1.02476,14.85539,-14.06287,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,319c0ed0-2785-11f0-bbec-f5883ecb6882,76.00365,4.376,,4.04942,,,,3.90363,2.01603,-0.47873,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:25.85,2025-05-02T11:42:25.8530816-07:00,2025-05-02T18:42:25.8530816Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,5be3ae50-1d9b-455c-87be-0925fc672a96,34.4663,-70.29339,7.4277,7.5575,-8.6014,-7.03144,-2.36118,4.62031,-0.51238,,3.90363,117.96835,-17.25755,2.56459,-0.52477,0.09186,-0.01588,0.0024,-5E-05,2.01603,16.46598,-29.99279,4.67947,-1.0691,0.25746,-0.05636,0.01193,-0.00164,-0.47873,-64.39683,5.51114,0.7218,-0.28092,0.10632,-0.02994,0.0078,-0.00144,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,High,,,
5,2025-05-02,11:42:30.31,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,47.36361,-5.768544,-3.538163,2211.014223,,,7.45196,2.33166,25.96846,,,,1.95932,0.1972,43.35093,-13.383367,-3.836103,0.508468,88.99434,18.955489,-28.220067,1215.418527,96.937,32.34693,-51.99135,307.06271,307.06271,-30.653881,3.57915,-0.52598,35.16006,-3.27436,50,8.60534,4.31722,-71.9496,-3.58491,-0.2539,14.45713,-15.20127,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,344bec90-2785-11f0-bbec-f5883ecb6882,74.12943,39.11695,,4.01268,,,,4.47881,2.36395,-0.80481,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:30.31,2025-05-02T11:42:30.3179776-07:00,2025-05-02T18:42:30.3179776Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,43257420-f540-4fc0-82b2-f999e22b5118,34.53401,-68.77177,7.22857,7.4501,-6.92631,-7.60064,-2.33153,4.26141,-0.12695,171.390335,4.47877,108.77566,-18.81235,4.19752,-0.83728,0.16284,-0.02867,0.00335,-0.00016,2.36388,42.39665,-11.92307,-0.50534,0.34513,-0.13771,0.03503,-0.00424,0.00016,-0.80484,-58.37385,8.37216,-2.17749,0.52151,-0.12925,0.02844,-0.00403,0.00025,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,
6,2025-05-02,11:42:44.94,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,47.19988,-3.085732,-3.631605,1249.305736,200.397661,12:45,6.68488,1.98108,26.20929,-38.37325,7.8639,2.58736,1.71083,0.10961,46.12119,-14.126431,-2.87896,0.489403,,,,,,,,,,,,-4.35477,11.80646,-3.01973,50,6.87293,4.86418,-70.52537,2.11752,-2.21951,7.12236,-26.15659,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,3d1252b0-2785-11f0-bbec-f5883ecb6882,77.01715,,,1.07869,,,,,,,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:44.94,2025-05-02T11:42:44.9469952-07:00,2025-05-02T18:42:44.9469952Z,,v3,,,,,,Undefined,SAN_BAR1,ea32b674-f894-4172-800c-242c54e6c52b,34.29822,-68.92141,3.56118,6.68653,-3.77298,-13.0783,-1.9806,4.36434,-1.10976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,11:42:49.88,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,48.16241,-6.431069,-4.223144,1166.476172,,,7.46323,2.42984,26.03889,,,,1.7271,0.08948,44.09906,-13.557318,-3.876252,0.499539,79.74824,31.623828,16.914247,1245.623758,104.29351,53.7732,34.96922,288.46528,280.86613,21.999863,4.212458,-3.71744,35.46498,-3.5919,50,8.82522,5.54493,-72.97903,-4.68877,-1.85159,14.66375,-14.50954,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,3ff54e60-2785-11f0-bbec-f5883ecb6882,75.45451,61.48973,,4.06335,,,,3.58688,2.21072,-0.47814,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:42:49.88,2025-05-02T11:42:49.8892288-07:00,2025-05-02T18:42:49.8892288Z,FlyBall,v3,,,,,,Undefined,SAN_BAR1,d1418211-eafc-40bc-9aa2-ff005b9c8518,34.46336,-69.78745,7.33188,7.46103,-7.84679,-7.25477,-2.42889,5.14193,-0.9258,204.5617,3.58762,95.27056,-16.37581,3.73907,-0.64971,0.09527,-0.01809,0.0034,-0.00027,2.21132,61.30818,-17.18818,0.64562,0.21069,-0.19937,0.07201,-0.01206,0.00076,-0.47804,28.97407,-0.71448,-0.14943,0.07648,-0.01793,0.00225,-9E-05,-0,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,
8,2025-05-02,11:43:04.10,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,47.3588,-4.02282,-4.335978,1176.721882,216.235451,1:15,6.66311,1.92057,26.31082,-39.57695,5.93929,3.76973,1.05293,-0.2509,46.75191,-15.340011,-3.235629,0.485573,74.07096,14.989366,14.758595,3003.920519,103.36255,15.19189,37.63198,178.6643,175.7704,23.621747,2.113742,-6.03654,9.38516,-3.18282,50,7.07857,5.92591,-70.47522,1.27177,-3.10381,6.3313,-27.34846,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,488191b0-2785-11f0-bbec-f5883ecb6882,77.62466,15.56105,,0.60689,,,,2.9075,1.45399,0.19351,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:43:04.10,2025-05-02T11:43:04.1009664-07:00,2025-05-02T18:43:04.1009664Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,b3009a78-bdbb-4983-862d-a0fd82e9d270,34.19725,-69.04095,3.16565,6.66493,-4.92366,-13.67423,-1.92003,5.22278,-1.55191,237.380619,2.90753,101.47631,-17.57142,3.65039,-0.59538,0.0508,0.00095,0.00025,-0.00016,1.45393,28.10243,-14.32138,0.41128,-0.18335,0.13851,-0.04821,0.00828,-0.0005,0.19346,26.73739,5.77175,-1.67965,0.23969,0.04647,-0.0301,0.0053,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-02,11:43:08.41,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,48.07018,-4.551763,-3.588886,1149.99361,,,7.49188,2.37741,26.77313,,,,2.95683,0.03981,43.80683,-11.753523,-4.68592,0.488094,81.57378,11.834438,-23.502126,6036.342677,99.49433,13.4594,-46.91301,187.82692,184.73058,-27.125208,1.899727,3.0454,33.63045,-3.34277,50,8.35094,4.07599,-73.41671,-2.05077,1.5238,15.38109,-15.34672,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,4afaa800-2785-11f0-bbec-f5883ecb6882,77.22371,13.75577,,4.26334,,,,3.63362,3.35943,-0.62504,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:43:08.41,2025-05-02T11:43:08.4158464-07:00,2025-05-02T18:43:08.4158464Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,be603d6c-56f5-45e5-ba6c-d94cdcfdb003,33.72924,-69.92488,7.69054,7.4899,-5.5348,-7.67336,-2.37817,4.42193,0.7619,128.695026,3.63362,107.38442,-15.02468,2.78349,-0.55256,0.10121,-0.01779,0.00266,-0.00021,3.35943,24.53657,-15.09245,0.8005,-0.11082,0.02145,-0.00205,0.00025,-3E-05,-0.62504,-46.69682,1.00377,0.08212,-0.06149,0.01844,-0.00398,0.00059,-4E-05,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Medium,,,
10,2025-05-02,11:43:21.71,,,,,Undefined,SAN_BAR1,"Cekada, Bradley",1000371824,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,46.56534,-2.75448,-4.021489,1154.857314,219.772591,1:15,6.65377,2.01684,25.85995,-44.97998,3.6141,2.23217,1.30258,-0.13356,45.71963,-15.503701,-3.378207,0.501722,48.57386,-29.05162,-26.521648,,,,,7.95285,5.35546,-10.644277,0.057963,-3.94008,5.93126,-3.13015,50,6.67471,5.20866,-69.58879,3.17821,-1.95116,7.0869,-29.23685,SAN_BAR1,,PershingPark,,,20250502-PershingPark-BP-2,52fb7430-2785-11f0-bbec-f5883ecb6882,75.12618,2.01754,,0.84571,,,,4.5662,2.01754,0.15285,04482937-49cc-4276-8c29-2afc7cf671f2,2025-05-02,18:43:21.71,2025-05-02T11:43:21.7101312-07:00,2025-05-02T18:43:21.7101312Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,52d64c91-4ba7-464c-bdd6-5ac35c746eac,34.6484,-68.00742,3.54345,6.65603,-3.3457,-14.61843,-2.01647,4.77328,-0.97558,,4.56301,56.06679,,,,,,,,2.01952,-34.80732,,,,,,,,0.15444,-27.98033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
