GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
f33c08e4-f3f5-406d-94d9-11c028960642,1,08873e50-9587-11f0-8eba-7b90a1f8ec28,d7f8ffa4-2d62-4c2e-8690-56ed10dd9213,2025-09-19,11:32:43.74,2025-09-19,18:32:43.74,2025-09-19T11:32:43.7460000-07:00,2025-09-19T18:32:43.7460000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,70.03154,66.16389,147.61342,86.84156,,,206.19913,-23.8331,212.8389,-126.36846,452.80162,52.09418,163.76748,109.9061,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,2,2f4ea720-9588-11f0-8eba-7b90a1f8ec28,ad596698-4f93-44da-90f4-0b9d5d2add37,2025-09-19,11:40:58.44,2025-09-19,18:40:58.44,2025-09-19T11:40:58.4480000-07:00,2025-09-19T18:40:58.4480000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,64.91389,61.58312,,,94.00158,-69.21959,,,289.35555,-180.62876,293.81486,5.97761,243.31425,127.1441,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,3,373e8360-9588-11f0-8eba-7b90a1f8ec28,03f0ccb2-693a-4be9-8e62-190f5be0c380,2025-09-19,11:41:11.80,2025-09-19,18:41:11.80,2025-09-19T11:41:11.8050000-07:00,2025-09-19T18:41:11.8050000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,64.2836,61.92062,,,99.31116,-67.71381,137.66809,-39.83448,283.88932,-163.67,295.01718,-1.20339,248.04264,132.96353,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,4,6aa1e0d0-9588-11f0-8eba-7b90a1f8ec28,d445c3f3-0744-483c-866c-c479c4ba80f8,2025-09-19,11:42:37.81,2025-09-19,18:42:37.81,2025-09-19T11:42:37.8130000-07:00,2025-09-19T18:42:37.8130000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,90.61399,72.27685,131.67703,27.55254,86.42456,-56.12031,134.58018,-31.3794,248.28409,-137.51384,297.79286,-6.22393,232.96391,127.79146,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,5,79554e50-9588-11f0-8eba-7b90a1f8ec28,6e16f31c-a75d-4a95-bd52-45ff49f84ffe,2025-09-19,11:43:02.46,2025-09-19,18:43:02.46,2025-09-19T11:43:02.4630000-07:00,2025-09-19T18:43:02.4630000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,92.63072,71.99704,131.18374,28.23925,87.26451,-56.91325,136.41594,-29.1359,251.33687,-131.98428,296.59918,-6.71407,227.87959,121.72444,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,6,82ced7d0-9588-11f0-8eba-7b90a1f8ec28,8789a805-f80b-4e21-a9ed-4804ba29d033,2025-09-19,11:43:18.57,2025-09-19,18:43:18.57,2025-09-19T11:43:18.5700000-07:00,2025-09-19T18:43:18.5700000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,96.41725,74.52546,131.56686,30.69727,88.60161,-58.68852,135.86173,-29.20527,243.42789,-126.39089,293.35581,4.30355,225.51033,121.31888,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,7,90ec46e0-9588-11f0-8eba-7b90a1f8ec28,3a133241-81ff-446a-966b-e8d9c8bc955b,2025-09-19,11:43:42.25,2025-09-19,18:43:42.25,2025-09-19T11:43:42.2570000-07:00,2025-09-19T18:43:42.2570000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,88.91374,63.89875,139.14377,44.9775,90.03085,-58.41022,138.72203,-35.40981,338.41807,-201.36263,290.04014,2.39255,226.86758,123.08875,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,8,9d90d190-9588-11f0-8eba-7b90a1f8ec28,5f89eeba-8f7b-4243-ae8a-928206a31b5a,2025-09-19,11:44:03.24,2025-09-19,18:44:03.24,2025-09-19T11:44:03.2480000-07:00,2025-09-19T18:44:03.2480000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,87.04739,67.96145,130.78587,29.77747,86.79303,-54.86415,134.05043,-27.93664,244.67975,-128.05237,290.81347,-1.75289,231.28067,126.21649,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,9,aa90e9c0-9588-11f0-8eba-7b90a1f8ec28,baa6c957-0235-4fcb-a49f-96a622c9662c,2025-09-19,11:44:25.27,2025-09-19,18:44:25.27,2025-09-19T11:44:25.2730000-07:00,2025-09-19T18:44:25.2730000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,85.88845,66.10835,130.63711,25.36774,87.68546,-56.26496,137.90638,-30.14651,245.67847,-126.10059,297.17063,-3.38601,237.15462,129.40991,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
f33c08e4-f3f5-406d-94d9-11c028960642,10,b99a1860-9588-11f0-8eba-7b90a1f8ec28,01b4a883-370d-4613-8b82-fe5b976c329e,2025-09-19,11:44:50.31,2025-09-19,18:44:50.31,2025-09-19T11:44:50.3140000-07:00,2025-09-19T18:44:50.3140000Z,SAN_BAR1,SAN_BAR1,Undefined,Undefined,NoShift,88.76576,62.897,132.90965,25.97806,88.5121,-56.54377,137.14226,-29.36785,339.68094,-202.15175,298.1514,12.29041,235.5874,127.77149,"Hoye, Jaxson",10877074,"Griffith, Hudson",1000200787,"Kruse, Jacob",10877636,"Fong, Jared",1000371745,"Franco, Dominic",10877067,"Sanchez, Austin",1000475184,"Frankel, Reece",1000202518,true
