PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-15,14:01:20.07,1,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.68327,-1.990184,-1.678005,2098.801654,216.62364,1:15,5.18957,2.40668,5.95748,-19.70084,17.60556,12.15257,1.70062,1.86278,78.91223,-5.726408,0.505705,0.439605,,,,,,,,,,,,-6.69792,9.98142,-2.27994,50,5.02029,3.18126,-125.76071,-4.93831,-10.66973,26.77025,-16.27369,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,c8393e40-1a3c-11f0-811e-1b496b42c6ea,85.74153,,,7.77104,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:01:20.07,2025-04-15T14:01:20.0704512-07:00,2025-04-15T21:01:20.0704512Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,6d81701f-c9ea-47e5-802e-139f4309eb14,54.54259,-126.72399,13.38513,5.18745,-4.35273,-8.13685,-2.40132,3.56519,-5.33487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-15,14:01:32.87,1,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.6748,-2.429167,-4.161558,2098.199453,217.127456,1:15,5.12602,2.18423,5.92107,-19.3795,18.97194,13.38233,1.24941,-0.56942,78.05197,-6.105724,-1.766849,0.44572,,,,,,,,,,,,-8.06489,10.80945,-1.85804,50,4.9199,8.48436,-124.02409,-5.82352,-12.51852,25.60515,-15.39536,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,cfd79f20-1a3c-11f0-811e-1b496b42c6ea,84.56526,,,7.62283,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:01:32.87,2025-04-15T14:01:32.8794624-07:00,2025-04-15T21:01:32.8794624Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,d56ca36b-f4a6-470a-b7a8-778594e7c19a,54.5804,-124.96615,12.80258,5.12373,-5.2571,-7.69768,-2.17866,8.94493,-6.25926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-15,14:01:45.74,1,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.45177,-2.63177,-4.953132,2116.491667,210.611648,1:00,5.13913,2.02506,6.0699,-16.26922,21.32883,11.85398,1.33699,-1.58233,78.57443,-5.761322,-2.830918,0.44132,,,,,,,,,,,,-7.59993,12.1691,-1.64672,50,4.9257,10.36648,-125.01279,-6.18648,-11.96194,26.47532,-13.02046,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,d76d2660-1a3c-11f0-811e-1b496b42c6ea,85.40833,,,7.87734,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:01:45.74,2025-04-15T14:01:45.7487360-07:00,2025-04-15T21:01:45.7487360Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,93985683-4689-452a-9351-42f9788678f9,54.4321,-125.94793,13.23766,5.13609,-5.72658,-6.51023,-2.02034,10.78899,-5.98097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-15,14:02:02.47,1,4,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.33157,-1.459788,-3.310128,2111.742833,215.818121,1:15,5.08413,2.10465,6.10265,-20.30166,17.35288,11.56438,2.03968,0.00353,78.12087,-5.331739,-1.230728,0.441652,,,,,,,,,,,,-6.95977,9.77898,-1.85559,50,4.96096,6.7657,-125.09758,-3.75716,-10.91241,27.72357,-16.84126,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,e17a3d50-1a3c-11f0-811e-1b496b42c6ea,85.34422,,,8.2107,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:02:02.47,2025-04-15T14:02:02.4727040-07:00,2025-04-15T21:02:02.4727040Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,644e58f3-0664-4eb7-bd8b-a87b2105c929,54.39689,-126.06823,13.86178,5.08218,-3.16752,-8.42063,-2.09916,7.14776,-5.45621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-15,14:02:15.22,1,5,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.95122,-1.71116,-2.412923,2124.304064,214.617517,1:15,5.02016,2.08033,5.86425,-18.50737,18.99907,12.18083,1.8863,0.85242,78.49437,-5.249958,-0.229834,0.440783,,,,,,,,,,,,-6.95611,10.62737,-1.89157,50,4.87062,4.79375,-125.99336,-4.28638,-11.03702,28.68609,-15.31196,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,e91569e0-1a3c-11f0-811e-1b496b42c6ea,85.51255,,,8.45686,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:02:15.22,2025-04-15T14:02:15.2202240-07:00,2025-04-15T21:02:15.2202240Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,09bc3cdf-755e-403d-b0a5-25de540497e7,54.63477,-127.04422,14.34305,5.01737,-3.72545,-7.65598,-2.07459,5.19807,-5.51851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-15,14:02:28.74,1,6,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.00581,-1.209525,-3.393805,2161.182332,214.620648,1:15,5.09933,2.03194,5.96455,-17.70359,18.68009,12.01914,2.50034,-0.11713,79.63247,-4.600931,-1.238926,0.434135,71.37794,45.038108,-141.208426,3992.56994,,,,,27.88442,,,-7.23367,10.33906,-1.76923,50,4.99347,7.06856,-127.53682,-3.19382,-11.79701,28.64076,-15.31261,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,f126d7e0-1a3c-11f0-811e-1b496b42c6ea,86.82195,27.1652,,8.37334,,,,2.28791,2.3384,0.27245,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:02:28.74,2025-04-15T14:02:28.7461888-07:00,2025-04-15T21:02:28.7461888Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,7aee255f-225d-4d67-a5c8-5117610079d1,54.53665,-128.55157,14.32038,5.09702,-2.65129,-7.6563,-2.02707,7.48653,-5.8985,32.705651,2.30118,-58.09442,-0.57614,,,,,,,2.3639,73.2551,-33.96544,,,,,,,0.25927,-45.92212,12.22544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-04-15,14:02:44.52,1,7,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Gordon, Bryson",10183131,Right,MOO_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.54271,-0.892895,-2.718553,2152.65263,200.105121,12:45,5.07121,2.08875,5.98973,-18.13221,17.90261,6.07796,2.73163,0.07372,79.78884,-4.3701,-1.627611,0.432049,83.53238,12.37504,-8.3394,1483.872179,107.98819,12.98453,-20.9386,181.23235,151.8739,-12.764214,1.814431,-4.00795,9.86729,-1.87752,50,4.99086,5.84195,-128.33792,-2.51485,-6.58486,30.25543,-15.96255,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,fa87a940-1a3c-11f0-811e-1b496b42c6ea,87.2412,13.44704,,8.75387,,,,2.16369,2.80233,-0.06099,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:02:44.52,2025-04-15T14:02:44.5225472-07:00,2025-04-15T21:02:44.5225472Z,LineDrive,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,54b120e7-83d8-4a53-b2bd-6b68625ad19b,54.51042,-129.39688,15.12772,5.0691,-1.95615,-7.98128,-2.08603,6.07242,-3.29243,109.799437,2.16369,118.40233,-15.78141,2.70642,-0.51463,0.06959,-0.00812,0.00074,-3E-05,2.80233,26.25581,-17.05458,1.16748,-0.16184,0.02916,-0.00315,0.00052,-8E-05,-0.06099,-17.35565,-4.72671,1.89022,-0.55703,0.12448,-0.02182,0.0025,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-04-15,14:03:12.18,2,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Paez, Drew",1000409287,Right,MOO_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.99366,-1.163809,-2.553288,2056.981323,218.404511,1:15,5.10759,2.10879,5.88527,-19.61308,17.48237,12.88434,2.39117,0.80979,79.19275,-4.883414,-0.243499,0.438361,,,,,,,,,,,,-7.30902,9.63997,-1.90994,50,5.00227,5.09026,-126.20258,-3.14108,-11.74449,26.56664,-16.68411,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,0af019c0-1a3d-11f0-811e-1b496b42c6ea,85.98499,,,7.80091,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:03:12.18,2025-04-15T14:03:12.1882112-07:00,2025-04-15T21:03:12.1882112Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,fa0504f9-ebaa-486a-99cf-dba2d35b098e,54.61537,-127.17044,13.28332,5.10563,-2.53325,-8.34206,-2.10318,5.51813,-5.87224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-15,14:03:27.11,2,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Paez, Drew",1000409287,Right,MOO_COL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.49299,0.260915,-3.601711,1812.233484,286.896449,3:30,4.91287,2.31129,6.07183,-45.52987,-2.73776,13.29642,1.36065,0.08192,74.14606,-8.116204,-1.209244,0.470818,,,,,,,,,,,,-7.90804,-1.17264,-2.03927,50,4.90845,6.87775,-116.87431,-0.89428,-10.95708,21.67161,-33.79881,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,13ed2040-1a3d-11f0-811e-1b496b42c6ea,80.05731,,,6.34693,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:03:27.11,2025-04-15T14:03:27.1131648-07:00,2025-04-15T21:03:27.1131648Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,c2ced1f0-f0ab-4795-8c31-f61bd4ca6724,54.43361,-117.69355,10.8358,4.9181,0.38339,-16.8994,-2.30709,7.29195,-5.47854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-15,14:03:42.82,2,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Paez, Drew",1000409287,Right,MOO_COL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.79624,-0.061159,-1.367559,2161.409585,216.027976,1:15,5.39402,2.16493,5.80622,-15.7682,20.06068,13.70064,4.02311,2.03454,80.33483,-3.099206,1.08654,0.430812,,,,,,,,,,,,-7.37615,10.59264,-2.06078,50,5.37972,2.48266,-128.85084,-0.56885,-12.28958,29.01161,-14.52536,SAN_BAR1,MOO_COL,PershingPark,JUCO,NJCAA,20250415-PershingPark-2,1d300960-1a3d-11f0-811e-1b496b42c6ea,87.49161,,,8.46141,,,,,,,02843c49-04a3-4156-9d7b-292d8c86923e,2025-04-15,21:03:42.82,2025-04-15T14:03:42.8261888-07:00,2025-04-15T21:03:42.8261888Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,69403736-fa86-4110-b0f8-978df2c9902e,54.69371,-129.90336,14.5058,5.3908,-0.04188,-7.26268,-2.15894,2.92852,-6.14479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
