PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-25,11:26:31.48,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,60.63534,-0.004894,-1.004868,2795.303412,198.524837,12:30,4.41012,1.7534,22.4571,-21.26548,14.42694,4.49319,2.63487,1.48523,56.03295,-5.779574,0.166795,0.429991,81.04968,-9.364286,-9.938924,,,,,16.60808,12.48751,-15.337127,0.12186,-5.11922,15.85587,-1.99037,50,4.23801,2.07005,-90.96392,2.56949,-4.17592,16.62854,-19.23991,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,291b4160-9a3d-11f0-83de-933e83d7667d,87.6587,2.3948,,4.60239,,,,1.96759,2.3948,-1.90243,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:26:31.48,2025-09-25T11:26:31.4890000-07:00,2025-09-25T18:26:31.4890000Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,ffa3a705-d521-4058-849f-b865b4053af9,38.04772,-88.75211,8.31427,4.40958,0.01033,-9.61996,-1.75197,1.5146,-2.08796,171.673838,1.9676,115.52636,-1.95588,,,,,,,2.39478,-19.34052,-2.55542,,,,,,,-1.90242,-20.24406,-1.57876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
2,2025-09-25,11:26:37.22,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,60.06224,0.33658,-0.590861,2935.800233,189.427287,12:15,4.4443,1.68883,22.39314,-22.4406,14.1152,2.16894,2.78986,1.49109,55.42175,-5.745368,-0.026198,0.435161,88.51845,-14.688949,-11.631864,,,,,15.99161,8.75227,-18.700858,0.106964,-2.5115,15.36324,-1.82455,50,4.19597,1.15535,-90.13886,3.18573,-2.00699,16.60675,-19.89701,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,2c8cc170-9a3d-11f0-83de-933e83d7667d,86.61729,3.53178,,4.64049,,,,,,,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:26:37.22,2025-09-25T11:26:37.2290000-07:00,2025-09-25T18:26:37.2290000Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,062ae351-b582-43fd-acfe-70b540a217a0,38.11184,-87.92136,8.30337,4.44397,0.52888,-9.9485,-1.68817,0.88736,-1.0035,,1.9448,123.37044,,,,,,,,3.53346,-33.01829,,,,,,,,-2.4096,-25.39582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-09-25,11:26:43.28,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,61.04794,0.17807,-0.609816,2597.178414,195.414518,12:30,4.42958,1.68539,22.49617,-21.92277,12.71883,3.27799,2.71643,1.56903,57.19628,-5.726699,0.246029,0.423614,84.79745,6.483965,23.860264,3145.155195,,,,119.90842,111.74977,27.159167,1.110275,-3.68201,14.01418,-1.83438,50,4.21209,1.33426,-91.29234,2.99336,-3.08671,14.27536,-20.42563,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,30257890-9a3d-11f0-83de-933e83d7667d,88.97828,5.9531,,3.85166,,,,1.4991,2.76714,-1.53647,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:26:43.28,2025-09-25T11:26:43.2840000-07:00,2025-09-25T18:26:43.2840000Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,21b4b492-9cc1-4680-a381-586e3c7b5b15,38.00964,-89.39775,7.13768,4.42947,0.28252,-10.21282,-1.68448,0.9246,-1.54336,255.272794,1.49909,113.01367,-20.01175,4.0803,-1.41232,1.18166,-0.89779,0.37216,-0.06209,2.76715,14.04239,-15.95323,0.91656,0.85437,-1.82968,1.59812,-0.68086,0.11448,-1.53646,49.9841,1.01338,-0.74082,1.41857,-2.28258,1.93272,-0.81907,0.13753,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-09-25,11:26:53.84,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,59.89993,-1.865602,-0.914101,2766.034537,183.968107,12:15,4.26785,1.54259,31.17624,-12.24186,8.38756,0.55398,2.33825,1.14332,57.01643,-6.150809,-0.724522,0.3269,86.64682,5.174163,30.752481,3862.618541,,,,99.29746,95.38441,34.40577,0.874317,-1.28362,16.22178,-1.89372,50,4.42771,1.64244,-91.01432,1.46618,-1.06897,14.25503,-18.66506,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,365d4490-9a3d-11f0-83de-933e83d7667d,115.30264,4.19434,,2.88349,,,,1.02585,2.22773,-1.31891,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:26:53.84,2025-09-25T11:26:53.8440000-07:00,2025-09-25T18:26:53.8440000Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,b36e8f25-d087-4c0a-8bc1-07cfb05e752a,29.33197,-87.7175,7.12752,4.26763,-2.85056,-9.33253,-1.54245,1.39522,-0.53448,,1.11351,107.40107,-17.22865,,,,,,,2.26287,10.91619,-15.48837,,,,,,,-1.35717,65.32303,0.50466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-09-25,11:26:58.52,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,61.56496,-0.261575,-0.799454,2738.798863,192.900568,12:30,4.48916,1.7021,22.44173,-18.21056,16.57749,3.55941,2.80427,1.48728,56.62076,-5.248591,0.128158,0.424509,84.75002,17.697347,15.260424,3086.716365,104.39747,25.32106,34.65688,238.50621,211.1767,24.333188,2.699171,-4.08772,18.22225,-1.8906,50,4.39205,1.67337,-92.47488,1.83915,-3.42396,17.98816,-16.91064,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,3934f5a0-9a3d-11f0-83de-933e83d7667d,88.79077,25.95163,,4.9442,,,,1.7064,2.81694,-1.51831,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:26:58.52,2025-09-25T11:26:58.5260000-07:00,2025-09-25T18:26:58.5260000Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,91328ba6-354b-4b74-8b3e-b2149392ad90,38.06355,-90.1231,8.99408,4.48798,-0.37175,-8.45532,-1.70109,1.22572,-1.71198,237.988545,1.70638,114.24389,-19.13373,3.73153,-0.75825,0.13495,-0.01987,0.00205,-0.0001,2.817,37.78111,-16.64529,1.20462,-0.24728,0.07163,-0.01839,0.00343,-0.00029,-1.51822,31.16145,4.00095,-1.16736,0.25041,-0.02115,-0.00698,0.00256,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-09-25,11:27:03.67,,,,,Undefined,SAN_BAR1,"Temple, William",1000475178,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,61.49567,0.398164,-1.039306,2674.569029,196.419393,12:30,4.38525,1.75821,22.36929,-19.89714,14.91434,4.10969,2.98241,1.43446,56.84684,-5.004362,0.029472,0.424651,94.68759,16.469082,-16.517087,1687.282351,104.19782,26.49585,-35.2531,302.90822,295.36849,-21.885985,2.982742,-4.71268,16.14706,-1.9984,50,4.14194,2.11175,-92.20716,3.07442,-3.95928,16.79726,-18.60833,SAN_BAR1,,PershingPark,,,20250925-PershingPark-BP-2,3c4da750-9a3d-11f0-83de-933e83d7667d,88.76093,29.96158,,4.64883,,,,2.68785,3.12771,-1.43444,55421c55-c294-47ae-9c1b-37d4ff500fbf,2025-09-25,18:27:03.67,2025-09-25T11:27:03.6740000-07:00,2025-09-25T18:27:03.6740000Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,0eea03d1-5035-463e-a8ca-9895a72485f2,38.136,-90.01997,8.39863,4.38451,0.65141,-9.30417,-1.75699,1.59621,-1.97964,137.511753,2.6879,127.67972,-18.2304,3.63642,-0.69956,0.10178,-0.0065,-0.00091,0.00017,3.12767,39.37225,-15.44106,0.87754,-0.16283,0.05294,-0.01605,0.00343,-0.00031,-1.43445,-37.86216,-0.34816,0.39133,-0.14246,0.04125,-0.00975,0.00158,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
