PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-15,11:36:12.91,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,46.46914,0.372563,-4.99363,1275.718821,178.320193,12:00,6.90943,2.27664,23.64029,-49.857,6.67701,-0.1552,2.9861,-0.83404,44.47426,-13.107309,-5.035251,0.541161,,,,,,,,,,,,-1.36264,8.29024,-3.42259,50,6.32841,6.0512,-69.43131,5.74945,-0.65839,8.51386,-28.16847,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,82629c40-1a28-11f0-b5a9-afdfb3ef0053,69.65111,,,1.99488,,,,,,,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:36:12.91,2025-04-15T11:36:12.9118720-07:00,2025-04-15T18:36:12.9118720Z,,v3,,,,,,Undefined,SAN_BAR1,68d22d78-db9a-4150-923e-1c17cc6f1606,36.86583,-67.80164,4.25693,6.9129,0.3576,-14.08424,-2.27636,5.92517,-0.32919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-15,11:36:19.46,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,47.54887,1.764588,-3.571213,1262.703278,206.882068,1:00,6.96639,2.37517,23.42814,-44.99597,9.56611,4.15303,4.31762,0.4954,44.96604,-10.478256,-2.462398,0.531639,,,,,,,,,,,,-5.7815,10.96276,-3.21553,50,6.13604,4.84674,-71.11274,6.97754,-2.92773,8.99912,-26.62255,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,8651b0c0-1a28-11f0-b5a9-afdfb3ef0053,70.89856,,,2.58284,,,,,,,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:36:19.46,2025-04-15T11:36:19.4667008-07:00,2025-04-15T18:36:19.4667008Z,,v3,,,,,,Undefined,SAN_BAR1,2bf30f8b-c8a1-4af0-9820-a02d39f3e68a,37.07734,-69.45816,4.49956,6.96895,2.08273,-13.31127,-2.37389,4.30845,-1.46386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-15,11:36:52.55,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,49.13685,-0.184228,-4.821561,1323.120356,201.838536,12:45,6.91664,2.13918,23.28631,-41.38754,9.86536,3.47315,3.35214,-0.59175,46.93506,-11.314861,-3.899302,0.515265,,,,,,,,,,,,-5.26359,11.73556,-3.24598,50,6.56706,6.53495,-73.2541,4.26779,-2.85798,8.71347,-25.80193,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,9a05f0e0-1a28-11f0-b5a9-afdfb3ef0053,73.15157,,,2.2018,,,,,,,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:36:52.55,2025-04-15T11:36:52.5508096-07:00,2025-04-15T18:36:52.5508096Z,,v3,,,,,,Undefined,SAN_BAR1,328dc69c-4581-49aa-9986-d6eb0fa6489f,37.22007,-71.71784,4.35674,6.91848,-0.28132,-12.90097,-2.13823,6.03107,-1.42899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-15,11:37:06.82,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,47.74233,-1.162321,-3.21675,1236.44175,173.945876,11:45,6.73273,1.99735,23.87935,-41.44341,10.51796,-0.99972,2.56352,-0.06504,46.17096,-12.419504,-3.487821,0.518814,95.20774,10.114678,-18.173136,1662.72009,,,,134.55855,131.54239,-18.246512,1.094864,0.35157,13.12863,-2.73885,50,6.55599,3.89325,-71.23714,3.34619,0.1822,7.52998,-25.37012,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,a2797c10-1a28-11f0-b5a9-afdfb3ef0053,72.65116,8.55972,,1.57136,,,,3.09848,2.93645,-0.07969,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:06.82,2025-04-15T11:37:06.8204544-07:00,2025-04-15T18:37:06.8204544Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,532cd514-448e-4b8f-8f08-894d741b24a5,36.62721,-69.80928,3.76499,6.73439,-1.46456,-12.68506,-1.99733,3.9278,0.0911,9.328295,3.09848,130.6109,-17.6625,2.81505,-0.89022,0.51789,-0.31531,0.11208,-0.0159,2.93644,24.52625,-28.42553,4.48892,-3.0222,4.21511,-3.83886,1.82857,-0.35415,-0.07969,-42.873,4.28657,-0.03342,-1.05548,2.18767,-2.13403,1.04524,-0.20649,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2025-04-15,11:37:11.37,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,46.95889,-0.64817,-3.347566,1249.23013,197.17995,12:30,6.6906,2.03591,23.94409,-48.30959,5.08044,1.24272,2.26648,0.08351,45.70241,-13.737667,-3.009488,0.525898,,,,,,,,,,,,-2.2824,6.68611,-2.83421,50,6.31738,4.23481,-70.06599,4.73127,-1.14717,7.09567,-28.81352,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,a52e14c0-1a28-11f0-b5a9-afdfb3ef0053,71.67255,,,1.25648,,,,,,,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:11.37,2025-04-15T11:37:11.3777664-07:00,2025-04-15T18:37:11.3777664Z,,v3,,,,,,Undefined,SAN_BAR1,f970693b-bb7b-41d5-a5af-0a7698f157cd,36.56346,-68.69177,3.54784,6.69331,-0.84902,-14.40676,-2.03557,4.01264,-0.57359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
6,2025-04-15,11:37:15.78,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,47.3969,-2.465704,-5.239573,1254.418383,218.879204,1:15,6.60393,2.012,23.78776,-45.06888,8.12497,5.65504,1.32152,-0.75437,46.2174,-14.544911,-3.712387,0.524931,,,,,,,,,,,,-7.75496,10.85564,-3.28244,50,6.70991,7.05423,-70.38441,2.00218,-3.94576,6.91992,-26.65066,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,a7eee270-1a28-11f0-b5a9-afdfb3ef0053,71.80457,,,1.1795,,,,,,,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:15.78,2025-04-15T11:37:15.7829120-07:00,2025-04-15T18:37:15.7829120Z,,v3,,,,,,Undefined,SAN_BAR1,838f2d42-6c0f-4ed7-9779-90f646353cd0,36.71784,-69.06621,3.45996,6.60777,-3.07457,-13.32533,-2.01026,6.30259,-1.97288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-15,11:37:20.68,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,49.06876,-1.493756,-3.030148,1281.854804,211.354228,1:00,6.72584,2.0598,23.35755,-41.87065,9.7715,5.08693,2.30344,0.59203,46.54182,-12.786523,-1.668905,0.517218,86.9266,-4.004147,-35.611617,,,,,25.19004,21.71096,-33.122443,0.182166,-6.72083,12.2106,-2.78103,50,6.6703,4.40369,-73.5464,2.59329,-3.61093,10.27475,-25.61361,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,aab862b0-1a28-11f0-b5a9-afdfb3ef0053,72.87534,2.63481,,2.52694,,,,3.01801,2.63481,-0.57253,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:20.68,2025-04-15T11:37:20.6887424-07:00,2025-04-15T18:37:20.6887424Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,7cf0e75e-f8e3-4b0c-a21e-9e4ab57190dc,37.14801,-71.72845,5.13737,6.72822,-1.93862,-12.8068,-2.05839,3.7648,-1.80546,23.636786,3.01886,103.33348,-22.50402,,,,,,,2.63676,-9.04452,-29.86494,,,,,,,-0.57247,-74.05991,9.01129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,High,High,,,
8,2025-04-15,11:37:25.55,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,48.45661,-1.906778,-4.352678,1226.714546,203.730695,12:45,6.65005,2.01218,23.83775,-41.59967,9.01934,3.50138,2.0063,-0.3795,47.00159,-13.144508,-3.405405,0.512069,85.65385,-12.817201,-21.431517,,,,,13.11133,13.06182,-15.304599,0.084431,-5.15103,11.52394,-3.06116,50,6.6493,5.88226,-72.14304,2.4424,-2.74637,7.47587,-26.02985,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,adaf0d70-1a28-11f0-b5a9-afdfb3ef0053,73.60815,2.35792,,1.45501,,,,2.99896,2.35792,0.32615,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:25.55,2025-04-15T11:37:25.5592960-07:00,2025-04-15T18:37:25.5592960Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,ada149a9-f4b1-4a41-901c-b1b9045b54f8,36.66923,-70.74814,3.73794,6.65191,-2.41441,-13.01492,-2.01142,5.36982,-1.37319,180,2.99572,114.26405,,,,,,,,2.35871,-27.92726,,,,,,,,0.32742,-44.85211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-15,11:37:34.93,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,48.52666,-1.630448,-4.61604,1276.258097,208.619765,1:00,6.73452,1.99683,24.01147,-41.58093,9.09,4.26567,2.26762,-0.48018,46.41095,-12.989708,-3.457076,0.512331,76.00179,21.466171,32.648578,4504.248646,88.13935,27.9697,65.81311,212.02523,166.19489,42.298793,2.766982,-6.38721,11.80272,-3.12817,50,6.66927,6.32883,-72.54877,2.80208,-3.3734,9.20364,-25.94043,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,b34dcdc0-1a28-11f0-b5a9-afdfb3ef0053,73.57046,28.08065,,2.11571,,,,2.47427,2.58293,0.34448,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:34.93,2025-04-15T11:37:34.9349888-07:00,2025-04-15T18:37:34.9349888Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,7e2b4445-2fe4-415b-b818-8738e157a67d,36.4947,-70.81475,4.60182,6.73679,-2.08527,-12.97022,-1.99565,5.69326,-1.6867,236.911491,2.47441,87.34007,-16.52933,2.88502,-0.45958,-0.01135,0.03949,-0.01297,0.00153,2.58285,40.79627,-17.79306,1.48132,-0.38885,0.1652,-0.06225,0.01506,-0.00156,0.34445,55.96534,-1.30762,-0.33916,0.2309,-0.15256,0.06923,-0.01677,0.00165,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-15,11:37:40.32,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,48.43073,-1.90053,-3.492433,1287.901777,192.53277,12:30,6.65763,2.02685,23.99521,-40.38459,10.52918,2.0489,2.12544,0.05556,46.2458,-12.944308,-2.934774,0.513558,83.08702,-4.733764,-25.368954,2694.008512,,,,38.23215,36.0287,-25.632196,0.288937,-3.49646,13.54839,-2.86971,50,6.6685,4.65353,-72.5439,2.30957,-1.83965,9.48962,-25.04563,SAN_BAR1,,PershingPark,,,20250415-PershingPark-BP-1,b66d3630-1a28-11f0-b5a9-afdfb3ef0053,73.39477,2.87171,,2.18492,,,,3.64634,2.87171,-0.26768,6673f727-f506-458c-87cb-bba6bf677a7b,2025-04-15,18:37:40.32,2025-04-15T11:37:40.3247104-07:00,2025-04-15T18:37:40.3247104Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,1846b8c8-eb27-4c2f-af78-f16ff1ac1cc7,36.51088,-70.75735,4.74481,6.65946,-2.40558,-12.52282,-2.02623,4.30719,-0.91982,127.835692,3.64517,109.78753,-10.7324,,,,,,,2.8713,-10.03836,0.35429,,,,,,,-0.26593,-52.11206,-14.58547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
