PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,11:45:12.68,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,45.62136,-1.821882,-0.988147,1184.949478,,,5.68117,-0.82587,27.34558,,,,1.79184,-0.06875,41.63444,-12.524227,3.732539,0.503792,86.59691,30.360843,4.914832,3115.94265,108.32179,51.37667,19.14049,300.00147,277.31671,16.923908,4.090029,-22.05521,22.16678,0.28405,50,5.54617,3.45948,-70.30382,3.2708,-10.0282,14.7061,-22.09512,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,15d944e0-252a-11f0-b1a7-db8f7e77066a,74.81746,59.43702,,3.98692,,,,3.13468,2.3015,0.20906,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:45:12.68,2025-04-29T11:45:12.6852608-07:00,2025-04-29T18:45:12.6852608Z,FlyBall,v3,,,,,,Undefined,SAN_BAR1,985211e0-36d4-4367-83a5-5671ac60500f,33.15779,-66.68778,7.35305,5.68248,-2.1621,-11.04756,0.83153,0.99368,-5.0141,234.845453,3.1358,109.16452,-20.12957,4.87343,-1.0851,0.27668,-0.08223,0.01638,-0.00129,2.30319,64.14629,-19.94377,0.67365,0.68388,-0.46111,0.14852,-0.02326,0.0014,0.20999,9.3619,9.42151,-4.13845,1.53646,-0.51867,0.13457,-0.02055,0.0013,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Medium,,,
2,2025-04-29,11:45:42.54,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,43.87782,0.965754,0.567162,1188.018959,137.6814,10:30,5.52513,-0.35356,27.03773,-44.36829,6.34741,-4.86225,2.36817,-0.44143,42.47308,-12.31913,-0.884411,0.512558,66.53871,42.527452,33.452779,,81.21061,58.37493,74.19458,201.77331,139.45183,46.640662,3.875426,6.94804,9.27993,0.60716,50,4.36421,-1.39299,-66.00303,8.14533,3.07495,6.81139,-28.06709,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,27b54290-252a-11f0-b1a7-db8f7e77066a,73.53796,58.44482,,1.40474,,,,2.20073,2.88032,0.48126,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:45:42.54,2025-04-29T11:45:42.5475584-07:00,2025-04-29T18:45:42.5475584Z,FlyBall,v3,,,,,,Undefined,SAN_BAR1,a26acb63-4b2f-4517-8611-f49bb2106283,33.46955,-64.27448,3.4057,5.5275,1.02266,-14.03354,0.35267,-0.61265,1.53747,227.165912,2.20887,59.76587,-13.82948,1.53517,2.10849,-1.60485,0.5196,-0.08047,0.00485,2.87996,65.95679,-22.24171,1.4165,0.65575,-0.68753,0.28469,-0.05517,0.00405,0.47902,39.70455,0.87587,-0.65992,-0.08535,0.13192,-0.0324,0.00185,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-04-29,11:46:15.61,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,46.33639,-3.599156,-1.067258,977.760611,,,6.04128,-0.54552,26.77012,,,,1.87874,-1.38375,43.57545,-11.314795,-1.904551,0.496629,96.28571,2.429582,1.371722,1152.03953,,,,53.07753,49.21626,3.619341,0.377703,3.43414,32.23277,0.28852,50,6.57589,0.89084,-70.12455,-0.29976,1.65137,10.46123,-16.67442,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,3b5621c0-252a-11f0-b1a7-db8f7e77066a,75.89659,2.28654,,2.76094,,,,2.51574,2.00224,1.08636,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:46:15.61,2025-04-29T11:46:15.6180480-07:00,2025-04-29T18:46:15.6180480Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,7faf0859-f93e-42fb-add4-04e511b88630,33.73391,-67.65445,5.23062,6.04029,-4.2369,-8.33721,0.5449,1.28076,0.82568,331.296655,2.5191,140.93355,-19.49953,,,,,,,2.01494,5.53648,-28.86747,,,,,,,1.08137,3.55419,6.53008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
4,2025-04-29,11:47:05.05,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,44.86403,-0.52189,-1.214587,1137.459059,200.599374,12:45,5.67992,-0.03815,27.37674,-42.97695,4.77134,1.41646,1.80954,-0.59256,43.38533,-13.482899,-0.78476,0.497336,76.99575,16.030825,45.003814,4367.611046,68.01626,13.41284,86.45052,165.80832,135.13363,55.970392,1.875325,-2.38358,7.67922,-0.3474,50,4.93757,1.66471,-67.70167,6.56713,-1.09887,7.85444,-28.63382,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,58cd9e90-252a-11f0-b1a7-db8f7e77066a,75.7886,14.55069,,1.4787,,,,2.00864,1.67393,0.91923,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:47:05.05,2025-04-29T11:47:05.0523648-07:00,2025-04-29T18:47:05.0523648Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,1d088404-7b80-404e-85c3-53d08c0ad586,33.13057,-65.71541,3.92722,5.68272,-0.67386,-14.31691,0.03844,1.38682,-0.54944,,2.00865,76.74079,-19.85791,3.62984,-0.72806,0.06813,0.01599,-0.00886,0.00142,1.67392,31.18538,-20.87073,2.77286,-0.59947,0.14573,-0.03346,0.00695,-0.0008,0.91923,76.75124,-0.03076,-1.94898,0.73852,-0.23127,0.05822,-0.01193,0.00126,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,High,,,
5,2025-04-29,11:47:33.71,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,45.25907,-1.468061,-1.744029,1060.811622,,,5.90369,-0.36477,27.18042,,,,2.82737,-1.6166,42.59671,-9.791213,-2.748745,0.500389,80.59458,-1.370862,-9.450343,2513.843249,,,,36.67645,31.88569,-6.825438,0.298351,4.04579,31.01399,-0.08289,50,5.77198,1.57499,-68.58277,2.73803,1.86881,9.71699,-17.8483,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,69e031c0-252a-11f0-b1a7-db8f7e77066a,75.32627,3.12376,,2.66236,,,,3.07955,3.12376,1.14482,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:47:33.71,2025-04-29T11:47:33.7138176-07:00,2025-04-29T18:47:33.7138176Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,f38eaba6-a021-4060-9d18-ebfd0b7f1782,33.32404,-66.17792,4.85849,5.903,-1.67925,-8.92415,0.36414,2.0375,0.93441,357.182968,3.08106,116.50063,-15.9984,,,,,,,3.12859,-3.04363,-24.99989,,,,,,,1.14441,-19.38461,3.15224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Medium,Medium,,,
6,2025-04-29,11:47:42.95,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,45.34688,0.086598,-3.151733,1165.182999,,,5.88271,-0.1297,27.22389,,,,3.20395,-2.16957,43.11071,-9.879649,-4.173431,0.496725,,,,,,,,,,,,3.78858,21.64674,-0.72709,50,5.1828,3.23106,-68.44124,5.5613,1.76848,8.67245,-22.06947,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,6f617f00-252a-11f0-b1a7-db8f7e77066a,75.88193,,,2.23617,,,,,,,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:47:42.95,2025-04-29T11:47:42.9562880-07:00,2025-04-29T18:47:42.9562880Z,,v3,,,,,,Undefined,SAN_BAR1,28fac18b-1afc-4bc2-a037-6de79d4304a5,33.28171,-66.28896,4.33622,5.88333,0.08422,-11.03473,0.12924,3.66995,0.88424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2025-04-29,11:47:49.94,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,45.35509,-2.013032,-1.235971,812.305569,,,5.79541,-0.60372,27.63138,,,,2.44371,-1.30009,41.28273,-10.562493,-1.299989,0.501112,70.84499,26.919539,9.240098,2225.614971,107.0641,38.69923,25.24291,226.38133,226.38133,16.786597,3.341586,-0.37039,32.50368,0.23791,50,5.81668,1.47314,-69.72872,2.11616,-0.16713,13.89778,-17.50862,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,7389f300-252a-11f0-b1a7-db8f7e77066a,75.21759,39.362,,4.07236,,,,2.43783,2.73291,1.03801,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:47:49.94,2025-04-29T11:47:49.9480576-07:00,2025-04-29T18:47:49.9480576Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,148f0606-39c5-4c6c-a331-2412a0bdae73,32.86975,-66.2265,6.94889,5.79402,-2.29598,-8.75431,0.60383,1.43102,-0.08356,213.515094,2.43769,91.44996,-15.09494,3.57018,-0.82523,0.22756,-0.05905,0.00946,-0.00062,2.73299,47.03841,-15.98237,0.55396,0.11303,-0.12236,0.04311,-0.00659,0.00035,1.03799,14.87666,2.73243,-0.78409,0.21465,-0.06794,0.01891,-0.00323,0.00023,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,
8,2025-04-29,11:47:54.60,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,44.18298,0.667952,0.067825,1139.032443,156.891109,11:15,5.66573,-0.19762,27.21572,-45.72093,3.83599,-1.2074,2.2273,-0.2605,42.78767,-13.073248,-0.295135,0.506668,81.66653,12.486596,-24.343671,1325.920286,98.59316,9.20357,-48.7785,152.19683,152.19683,-27.615628,1.490423,1.72823,5.84146,0.24057,50,4.53706,-0.26817,-66.59212,8.2058,0.77476,7.26076,-29.55531,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,7664ff70-252a-11f0-b1a7-db8f7e77066a,74.39278,11.30618,,1.3953,,,,3.7516,2.84836,0.15929,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:47:54.60,2025-04-29T11:47:54.6000384-07:00,2025-04-29T18:47:54.6000384Z,LineDrive,v3,,,,,,Undefined,SAN_BAR1,ae965fa1-64ed-46c5-8a74-db6b76287f7a,33.29222,-64.74479,3.63038,5.66824,0.68615,-14.77765,0.19742,-0.07105,0.38738,81.892087,3.7516,106.54717,-15.65818,2.937,-0.95422,0.69819,-0.5047,0.19837,-0.03162,2.84836,25.8973,-21.01295,2.03513,-0.43665,0.15281,-0.07301,0.02573,-0.00395,0.15929,-48.20502,-0.79132,1.41314,-0.83927,0.81604,-0.60688,0.24248,-0.03911,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-29,11:49:19.77,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,45.3745,0.230552,-0.538212,1212.819279,145.226397,10:45,5.54131,-0.0376,26.80374,-43.94254,4.19764,-2.25024,2.00937,-0.52844,43.96782,-12.802333,-1.205902,0.499373,95.02024,4.121994,7.36218,1440.279235,,,,81.53326,81.53326,9.805392,0.611752,2.98461,6.14567,-0.07446,50,4.63544,0.29185,-68.30022,7.29172,1.41156,7.43717,-29.26749,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,a9138bd0-252a-11f0-b1a7-db8f7e77066a,75.47949,3.28935,,1.40668,,,,2.39139,2.21742,0.57276,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:49:19.77,2025-04-29T11:49:19.7700096-07:00,2025-04-29T18:49:19.7700096Z,GroundBall,v3,,,,,,Undefined,SAN_BAR1,f2807fd6-349b-4278-97d9-a6f55bbe590e,33.70467,-66.50217,3.71859,5.54298,0.21583,-14.63374,0.03736,0.63312,0.70578,303.471342,2.40885,137.47343,-16.52086,,,,,,,2.24426,9.4266,-21.47343,,,,,,,0.55372,18.23303,5.86571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-29,11:49:50.35,,,,,Undefined,SAN_BAR1,"Matuszak, Will",1000371782,Right,SAN_BAR1,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,46.26066,0.284089,-0.81916,1161.803149,121.596349,10:00,5.66519,-0.14499,26.64923,-44.82585,3.68418,-3.51981,2.09058,-0.90219,43.27798,-13.106165,-1.858704,0.501288,,,,,,,,,,,,4.34453,5.75555,-0.03214,50,4.81477,0.51295,-70.55688,7.09551,2.07054,12.09529,-29.43102,SAN_BAR1,,PershingPark,,,20250429-PershingPark-BP-1,bb555030-252a-11f0-b1a7-db8f7e77066a,75.1912,,,2.98268,,,,,,,c6c3a9ac-cf77-42fd-907d-2dafff95b316,2025-04-29,18:49:50.35,2025-04-29T11:49:50.3578112-07:00,2025-04-29T18:49:50.3578112Z,,v3,,,,,,Undefined,SAN_BAR1,a5d265d7-03ac-479b-bf3a-3952e41d2d9c,33.85672,-67.73298,6.04764,5.66924,0.22425,-14.71551,0.14405,0.99636,1.03527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
