PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,14:05:23.29,1,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Martinez, AJ",1000422451,Right,CUE_COL,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.63061,4.46027,-0.128505,2040.88305,31.512125,7:00,5.44924,2.09796,5.21877,-77.44811,-20.42403,-13.77891,3.19766,0.82888,64.77831,-9.564354,-2.571848,0.543501,,,,,,,,,,,,6.76319,-10.92772,-2.07542,50,5.80387,0.75851,-103.64242,5.492,7.21291,20.4733,-43.82841,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,9caae600-f3c4-11ef-96fb-5f0b3b7135d2,69.35116,,,6.8523,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:05:23.29,2025-02-25T14:05:23.2912896-08:00,2025-02-25T22:05:23.2912896Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,9d81b0bf-7f72-45b6-a3d4-e2749697a609,55.28857,-104.6819,10.23665,5.46854,7.71728,-21.91421,-2.10464,0.3923,3.60645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-25,14:05:38.80,1,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Martinez, AJ",1000422451,Right,CUE_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.02835,-2.86542,-3.915909,2157.905411,211.105783,1:00,5.50633,1.77552,5.74317,-16.29698,20.40332,11.53883,1.47169,-0.91483,79.91112,-5.978429,-1.857582,0.43602,,,,,,,,,,,,-7.03016,11.60686,-1.45641,50,5.25744,8.22313,-127.33657,-6.84636,-11.46728,27.74529,-13.24151,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,a5db7fa0-f3c4-11ef-96fb-5f0b3b7135d2,86.4466,,,8.11722,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:05:38.80,2025-02-25T14:05:38.8049408-08:00,2025-02-25T22:05:38.8049408Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,41257753-01d6-4b62-8074-91f5039b522f,54.75738,-128.36897,13.87265,5.50302,-6.35364,-6.62075,-1.77032,8.64982,-5.73364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-25,14:05:54.39,1,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Martinez, AJ",1000422451,Right,CUE_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.22007,-0.080423,-4.721757,2218.75593,199.399733,12:45,5.64057,1.68435,5.87616,-12.99127,23.60663,7.84933,4.48301,-2.05711,79.31063,-2.637078,-3.321915,0.435411,,,,,,,,,,,,-5.46859,12.41142,-1.306,50,5.62647,10.19289,-127.53698,-0.46313,-8.88811,29.46473,-12.00175,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,af26cd30-f3c4-11ef-96fb-5f0b3b7135d2,86.56746,,,8.90943,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:05:54.39,2025-02-25T14:05:54.3940096-08:00,2025-02-25T22:05:54.3940096Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,014a3bb6-eb9d-45de-a351-6084a565f8f4,54.62147,-128.60024,14.73236,5.63537,-0.03004,-6.00088,-1.67961,10.51362,-4.44406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-25,14:06:13.17,1,4,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Martinez, AJ",1000422451,Right,CUE_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.41736,-2.526112,-4.277774,2245.050501,202.32629,12:45,5.5925,1.56883,5.87114,-12.69083,22.81659,8.85099,2.18035,-1.67461,80.8601,-5.006098,-2.697274,0.428875,,,,,,,,,,,,-5.80394,12.77182,-1.2269,50,5.37995,9.28709,-129.29626,-6.01681,-9.73419,29.28489,-10.75345,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,ba5a89d0-f3c4-11ef-96fb-5f0b3b7135d2,87.88672,,,8.55727,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:06:13.17,2025-02-25T14:06:13.1758592-08:00,2025-02-25T22:06:13.1758592Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,161b49c6-8116-4fb6-82cb-f5d143e6c457,54.62813,-130.34029,14.64244,5.58762,-5.63344,-5.37673,-1.56418,9.63413,-4.8671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-25,14:06:39.52,2,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Botti, Aidan",1000396785,Left,CUE_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.70695,-1.943268,-4.604555,2284.773981,211.854451,1:00,5.51684,2.32615,5.83503,-14.5956,20.69391,12.08611,2.48767,-0.95597,81.15664,-4.761882,-2.448625,0.427557,,,,,,,,,,,,-7.54926,11.50343,-1.95681,50,5.34926,9.92463,-129.73308,-4.80455,-12.75855,29.25833,-12.73277,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,ca107330-f3c4-11ef-96fb-5f0b3b7135d2,88.15763,,,8.55031,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:06:39.52,2025-02-25T14:06:39.5210240-08:00,2025-02-25T22:06:39.5210240Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,d5968593-d7fa-4123-a783-1c198cc381b2,54.66526,-130.78099,14.62916,5.51317,-4.34852,-6.36638,-2.32045,10.38158,-6.37928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-25,14:06:52.33,2,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Botti, Aidan",1000396785,Left,CUE_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.33789,-1.90983,-3.550986,2244.960324,206.720558,1:00,5.4121,2.04113,5.8697,-11.74194,23.66954,11.29548,2.65545,-0.32041,80.89184,-4.221292,-1.530683,0.428295,,,,,,,,,,,,-6.81504,13.00835,-1.75969,50,5.25031,7.5414,-129.38502,-4.58225,-11.46693,28.8632,-10.28634,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,d1acd840-f3c4-11ef-96fb-5f0b3b7135d2,88.00574,,,8.44605,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:06:52.33,2025-02-25T14:06:52.3301888-08:00,2025-02-25T22:06:52.3301888Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,25b77d71-5dc5-4a91-a7c3-8ccfa2182a2d,54.63039,-130.41388,14.4316,5.40711,-4.21559,-5.14317,-2.03579,7.95015,-5.73346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-25,14:07:12.21,2,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Botti, Aidan",1000396785,Left,CUE_COL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.66785,-0.340963,-3.404094,1799.443434,256.230059,2:30,5.22667,2.48881,5.92543,-36.24915,5.74618,17.89143,1.88894,0.8172,74.69525,-7.052725,-0.193977,0.466414,76.07224,22.858288,-4.901091,3637.396844,109.01916,34.44409,-14.65502,254.50317,245.15286,-11.120493,3.403325,-10.20788,3.42071,-2.2266,50,5.17863,6.37106,-118.49243,-1.85004,-14.47027,23.26342,-27.32497,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,dd8ed640-f3c4-11ef-96fb-5f0b3b7135d2,80.81322,36.69767,,6.97259,,,,2.48175,2.05324,-0.81009,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:07:12.21,2025-02-25T14:07:12.2196480-08:00,2025-02-25T22:07:12.2196480Z,LineDrive,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,81c2f090-a5a4-4105-b1fd-0f3ed7c24528,54.57828,-119.38789,11.63171,5.2296,-0.79823,-13.66249,-2.48255,6.92806,-7.23514,153.999623,2.48146,102.44364,-15.19791,3.28201,-0.76108,0.20615,-0.05049,0.00754,-0.00046,2.05355,43.33133,-14.23717,0.42102,0.05641,-0.05277,0.01379,-0.00087,-9E-05,-0.81014,-8.782,-2.71456,0.57054,-0.13192,0.03713,-0.00957,0.00148,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-02-25,14:07:43.20,3,1,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Usher, Tristan",1000396788,Left,CUE_COL,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.13041,5.704635,0.939336,2113.783206,33.5307,7:00,5.46355,2.18095,5.19226,-72.05661,-18.69446,-13.65162,4.84398,1.92708,66.69984,-7.349632,-1.474369,0.525761,,,,,,,,,,,,7.02229,-10.4369,-2.25743,50,5.94011,-1.2107,-107.03928,8.1857,8.01776,21.21359,-44.09045,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,f00e66f0-f3c4-11ef-96fb-5f0b3b7135d2,71.69127,,,7.43057,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:07:43.20,2025-02-25T14:07:43.2086528-08:00,2025-02-25T22:07:43.2086528Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,d9f43f2c-6c5f-40e3-8918-03150508ede1,55.31405,-108.08732,10.60679,5.4819,10.36394,-22.04522,-2.18783,-1.60681,4.00888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-25,14:07:57.43,3,2,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Usher, Tristan",1000396788,Left,CUE_COL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.0814,-1.523853,-3.168873,2281.510443,216.48174,1:15,5.39242,2.26219,5.66852,-16.53249,19.43269,13.42355,2.59131,0.42304,80.46334,-4.68903,-0.774453,0.431631,,,,,,,,,,,,-7.7567,10.68276,-2.0027,50,5.25327,6.54712,-129.00147,-3.91423,-12.93254,29.48766,-14.36299,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,f87a7810-f3c4-11ef-96fb-5f0b3b7135d2,87.32563,,,8.61807,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:07:57.43,2025-02-25T14:07:57.4328320-08:00,2025-02-25T22:07:57.4328320Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,263774b6-90e5-4d01-b534-61f72ac54bd3,54.831,-130.10107,14.74383,5.38925,-3.37863,-7.1815,-2.25583,7.02937,-6.46627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-25,14:08:11.17,3,3,"Talarico, Joseph",1000322767,Right,SAN_BAR1,"Usher, Tristan",1000396788,Left,CUE_COL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.31,0.382109,-2.230615,2305.152991,218.326837,1:15,5.34447,2.51864,5.64683,-16.72627,18.20186,13.4332,4.30733,1.55627,81.51792,-2.817327,0.166804,0.425362,,,,,,,,,,,,-7.45185,9.43957,-2.33779,50,5.36653,4.49191,-130.92334,0.37472,-12.80544,30.20887,-15.95287,SAN_BAR1,CUE_COL,PershingPark,JUCO,NJCAA,20250225-PershingPark-1,00a86ec0-f3c5-11ef-96fb-5f0b3b7135d2,88.61252,,,8.79208,,,,,,,41d11fa6-5808-4628-ba21-76baad657629,2025-02-25,22:08:11.17,2025-02-25T14:08:11.1739392-08:00,2025-02-25T22:08:11.1739392Z,,v3,,,,"Dosztan-Campbell, Andrue",1000322717,Right,SAN_BAR1,399f0a12-90f8-492a-a089-4fd46cda3248,54.85248,-132.03824,15.10444,5.34183,0.96348,-7.97643,-2.51229,4.96451,-6.40272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
